model,test_accuracy,test_f1_macro,test_f1_weighted,train_time_sec,inference_time_ms,parameters_count
KNN (Baseline),0.9244604316546763,0.9184718403231603,0.9241113718640205,0.1,0.5,0
Late Fusion (HARNet + KNN),0.9820143884892086,0.9824882024882025,0.9820843865448181,45.0,12.0,10985799
